Title,Affiliation,Authors
The Care-Dependent are Less Averse to Care Robots: An Empirical Comparison of Attitudes,"['Faculty of Computer Science, Technische Hochschule Ingolstadt, Ingolstadt, Germany', 'TUM School of Social Sciences and Technology, Technical University of Munich, Munich, Germany', 'Seminar for Corporate Development and Business Ethics, Faculty of Management, Economics and Social Sciences, University of Cologne, Cologne, Germany', 'Faculty of Business Administration, Technische Universität Bergakademie Freiberg, Freiberg, Germany']","['Manuela Schönmann,\xa0Anja Bodenschatz\xa0&\xa0Matthias Uhl', 'Manuela Schönmann,\xa0Anja Bodenschatz,\xa0Matthias Uhl\xa0&\xa0Gari Walkowitz', 'Anja Bodenschatz', 'Gari Walkowitz']"
How Should a Social Mediator Robot Convey Messages About the Self-Disclosures of Elderly People to Recipients?,"['Department of Intelligent Interaction Technologies, Graduate School of Systems and Information Engineering, University of Tsukuba, Tsukuba, Japan', 'Institute of Innovation for Future Society, Nagoya University, Nagoya, Japan', 'Institute of Systems and Information Engineering, University of Tsukuba, Tsukuba, Japan']","['Yohei Noguchi', 'Hiroko Kamide', 'Fumihide Tanaka']"
Spatially Small-scale Approach-avoidance Behaviors Allow Learning-free Machine Inference of Object Preferences in Human Minds,"['Department of Psychology, National Taiwan University, No. 1, Sec. 4, Roosevelt Rd, Taipei, 10617, Taiwan', 'Graduate Institute of Brain and Mind Sciences, National Taiwan University, Taipei, Taiwan', 'Center for Artificial Intelligence and Advanced Robotics, National Taiwan University, Taipei, Taiwan', 'Department of Computer Science and Information Engineering, National Taiwan University, Taipei, Taiwan']","['Tsung-Ren Huang,\xa0Tzu-Chun Chen,\xa0Ting-Yu Lin,\xa0Joshua O. S. Goh,\xa0Yu-Ling Chang\xa0&\xa0Su-Ling Yeh', 'Tsung-Ren Huang,\xa0Joshua O. S. Goh,\xa0Yu-Ling Chang\xa0&\xa0Su-Ling Yeh', 'Tsung-Ren Huang,\xa0Joshua O. S. Goh,\xa0Yu-Ling Chang,\xa0Su-Ling Yeh\xa0&\xa0Li-Chen Fu', 'Li-Chen Fu']"
Ethics and Robot Democratization: Reflecting on Integrative Ethics Practices,"['Institute for Management Science, TU Wien, Theresianumgasse 27, Vienna, Austria']",['Jesse de Pagter']
Making Meaning Together: Co-designing a Social Robot for Older Adults with Ikigai Experts,"['Department of Informatics, Indiana University Bloomington, Bloomington, IN, USA', 'Toyota Research Institute, Cambridge, MA, USA']","['Waki Kamino,\xa0Long-Jing Hsu,\xa0Swapna Joshi,\xa0Natasha Randall\xa0&\xa0Selma Šabanović', 'Abhijeet Agnihotri\xa0&\xa0Katherine M. Tsui']"
Measuring Anthropomorphism of a New Humanoid Hand-Arm System,"['School of Mechanical and Aerospace Engineering, Nanyang Technological University, 50 Nanyang Avenue, Singapore, 639798, Singapore', 'Institute for Media Innovation, Nanyang Technological University, XFrontiers Block, Singapore, 637553, Singapore', 'MIRALab, University of Geneva, Geneva, Switzerland']","['Anoop Kumar Sinha\xa0&\xa0Yiyu Cai', 'Anoop Kumar Sinha\xa0&\xa0Nadia Magnenat Thalmann', 'Nadia Magnenat Thalmann']"
"Hey Robot, Tell It to Me Straight: How Different Service Strategies Affect Human and Robot Service Outcomes","['Kyoto University, Kyoto, Japan', 'University of New Brunswick, Fredericton, Canada']","['Masaharu Naito\xa0&\xa0Takayuki Kanda', 'Daniel J. Rea']"
Robot’s Inner Speech Effects on Human Trust and Anthropomorphism,"['Department of Humanities, University of Palermo, Viale delle Scienze, 90128, Palermo, Italy', 'Department of Psychology, Educational Science and Human Movement, University of Palermo, Viale delle Scienze, 90128, Palermo, Italy', 'Department of Engineering, University of Palermo, Viale delle Scienze, 90128, Palermo, Italy', 'ICAR-CNR, National Research Council, Via Ugo La Malfa, 90100, Palermo, Italy']","['Arianna Pipitone', 'Alessandro Geraci\xa0&\xa0Antonella D’Amico', 'Valeria Seidita\xa0&\xa0Antonio Chella', 'Arianna Pipitone\xa0&\xa0Antonio Chella']"
Effect of Different Listening Behaviors of Social Robots on Perceived Trust in Human-robot Interactions,"['Department of Industrial Engineering and Economics, Tokyo Institute of Technology, Tokyo, Japan']",['Naeimeh Anzabi\xa0&\xa0Hiroyuki Umemuro']
What is Appropriate? On the Assessment of Human-Robot Proxemics for Casual Encounters in Closed Environments,"['Institute of Education, Work and Society, Dept. of Sustainable Development and Change, University of Hohenheim,  Wollgrasweg 49,  70599, Stuttgart, Germany', 'San Francisco, CA, USA']","['Nicolas E. Neef,\xa0Sarah Zabel\xa0&\xa0Siegmar Otto', 'Mathis Lauckner']"
