Title,Authors,Keywords
The Care-Dependent are Less Averse to Care Robots: An Empirical Comparison of Attitudes,"'Manuela Schönmann', 'Anja Bodenschatz', 'Matthias Uhl', 'Gari Walkowitz'","'Care robots', 'Nursing care', 'Robot aversion', 'Affective attitudes', 'Vignette experiment'"
How Should a Social Mediator Robot Convey Messages About the Self-Disclosures of Elderly People to Recipients?,"'Yohei Noguchi', 'Hiroko Kamide', 'Fumihide Tanaka'","'Social mediator robot', 'Self-disclosure', 'Older persons', 'Social anxiety', 'Messaging options'"
Spatially Small-scale Approach-avoidance Behaviors Allow Learning-free Machine Inference of Object Preferences in Human Minds,"'Tsung-Ren Huang', 'Tzu-Chun Chen', 'Ting-Yu Lin', 'Joshua O. S. Goh', 'Yu-Ling Chang', 'Su-Ling Yeh', 'Li-Chen Fu'","'Human-Robot Interaction', 'Theory of Mind', 'Preference', 'Social Intelligence'"
Ethics and Robot Democratization: Reflecting on Integrative Ethics Practices,'Jesse de Pagter',"'Collaborative robots', 'Democratization', 'Interdisciplinary integration', 'Integrative robot ethics', 'Research practices'"
Making Meaning Together: Co-designing a Social Robot for Older Adults with Ikigai Experts,"'Waki Kamino', 'Long-Jing Hsu', 'Swapna Joshi', 'Natasha Randall', 'Abhijeet Agnihotri', 'Katherine M. Tsui', 'Selma Šabanović'","'Ikigai', 'Social robots', 'Older adults', 'Meaning and purpose in life', 'Co-design', 'Human–robot interaction'"
Measuring Anthropomorphism of a New Humanoid Hand-Arm System,"'Anoop Kumar Sinha', 'Nadia Magnenat Thalmann', 'Yiyu Cai'","'Anthropomorphism', 'Anthropomorphic score', 'Robotic hand-arm system', 'Humanoids', 'Manipulability analysis', 'Workspace analysis'"
"Hey Robot, Tell It to Me Straight: How Different Service Strategies Affect Human and Robot Service Outcomes","'Masaharu Naito', 'Daniel J. Rea', 'Takayuki Kanda'","'Human–robot interaction', 'Customer service', 'Social strategies', 'Human–robot comparisons'"
Robot’s Inner Speech Effects on Human Trust and Anthropomorphism,"'Arianna Pipitone', 'Alessandro Geraci', 'Antonella D’Amico', 'Valeria Seidita', 'Antonio Chella'","'Inner speech', 'Self-talk', 'Robot', 'Trust', 'Anthropomorphism', 'Human–robot interaction'"
Effect of Different Listening Behaviors of Social Robots on Perceived Trust in Human-robot Interactions,"'Naeimeh Anzabi', 'Hiroyuki Umemuro'","'Trust', 'Active listening', 'Empathic listening', 'Cognitive and affective trust', 'Verbal and nonverbal behavior', 'Human-robot interaction'"
What is Appropriate? On the Assessment of Human-Robot Proxemics for Casual Encounters in Closed Environments,"'Nicolas E. Neef', 'Sarah Zabel', 'Mathis Lauckner', 'Siegmar Otto'","'Human-Robot Proxemics', 'Robotic Motion Behavior', 'Robotic Spatial Behavior', 'Human Spatial Preferences', 'Advancing Methods in HRI'"
Ethics 4.0: Ethical Dilemmas in Healthcare Mediated by Social Robots,"'Antonio Soares', 'Nuno Piçarra', 'Jean-Christophe Giger', 'Raquel Oliveira', 'Patrícia Arriaga'","'Moral judgments', 'Nursing robots', 'Warmth', 'Competence', 'Trustworthiness', 'Health framing'"
